x,y,Cp,-Cp,Cp_inf_0.5,Cp_inf_0.6,Cp_inf_0.7,Cp_inf_0.8,Cp_inf_0.9
1.0,0.00126,0.42147,-0.42147,0.48667163591070317,0.5268375,0.5901760470152854,0.7024500000000001,0.9669184935442569
0.99392,0.00292,0.23436,-0.23436,0.2706156181745614,0.29295,0.3281696404928044,0.3906000000000001,0.5376587138990487
0.98333,0.00577,0.15302,-0.15302,0.17669227638279306,0.19127499999999997,0.21427085845796606,0.2550333333333334,0.3510519559687337
0.97098,0.00904,0.08696,-0.08696,0.10041275881745972,0.10869999999999999,0.12176835610707573,0.14493333333333336,0.19949992217384055
0.95718,0.01262,0.03219,-0.03219,0.03716981033042811,0.0402375,0.04507501590486164,0.05365000000000002,0.07384892473293385
0.94237,0.01638,-0.01558,0.01558,-0.01799023438794874,-0.019475,-0.021816363709156395,-0.025966666666666673,-0.03574297133703353
0.92696,0.02021,-0.05851,0.05851,-0.06756152850057001,-0.0731375,-0.08193038771647886,-0.09751666666666668,-0.13423114588766571
0.91123,0.02403,-0.09732,0.09732,-0.11237545639506877,-0.12165,-0.13627525777760593,-0.16220000000000004,-0.22326739220283076
0.89533,0.0278,-0.13289,0.13289,-0.15344815454521876,-0.1661125,-0.18608322036648223,-0.2214833333333334,-0.3048705687405896
0.87933,0.03149,-0.16641,0.16641,-0.19215371659169125,-0.2080125,-0.23302060878310113,-0.27735000000000004,-0.3817707227340019
0.86327,0.03511,-0.1973,0.1973,-0.22782241622222635,-0.24662499999999998,-0.27627526057872637,-0.3288333333333334,-0.45263724292661844
0.84718,0.03864,-0.22693,0.22693,-0.2620361931744036,-0.2836625,-0.3177655594684763,-0.37821666666666676,-0.5206131248724659
0.83106,0.04208,-0.25497,0.25497,-0.29441399627055775,-0.31871249999999995,-0.35702941302462166,-0.42495000000000005,-0.5849412966497713
0.81492,0.04544,-0.28203,0.28203,-0.3256601928391003,-0.3525375,-0.39492099209841963,-0.47005000000000013,-0.6470211942351455
0.79875,0.0487,-0.30766,0.30766,-0.35525516763776055,-0.38457499999999994,-0.4308101706520575,-0.5127666666666668,-0.7058204468261704
0.78258,0.05188,-0.3329,0.3329,-0.38439980922645284,-0.41612499999999997,-0.46615323997292446,-0.5548333333333334,-0.7637249780551002
0.76638,0.05496,-0.35761,0.35761,-0.4129324595298041,-0.4470125,-0.5007541608492566,-0.5960166666666668,-0.8204136058945161
0.75017,0.05796,-0.38144,0.38144,-0.4404489733593817,-0.4768,-0.5341228352516441,-0.6357333333333335,-0.875083375275871
0.73395,0.06086,-0.40476,0.40476,-0.4673765899143859,-0.50595,-0.5667773668111773,-0.6746000000000002,-0.928583124414486
0.71772,0.06368,-0.42771,0.42771,-0.49387696727018965,-0.5346375,-0.59891379473962,-0.7128500000000001,-0.9812340353377799
0.70148,0.0664,-0.45023,0.45023,-0.5198808233944905,-0.5627875,-0.6304481022319309,-0.7503833333333335,-1.0328984586054304
0.68523,0.06902,-0.47286,0.47286,-0.546011696578013,-0.591075,-0.6621364405334847,-0.7881000000000001,-1.0848152391803385
0.66898,0.07155,-0.49477,0.49477,-0.5713111853739024,-0.6184624999999999,-0.6928165771745384,-0.8246166666666668,-1.1350802264713786
0.65272,0.07398,-0.51667,0.51667,-0.5965991271644079,-0.6458375,-0.7234827110147518,-0.8611166666666668,-1.1853222721890315
0.63645,0.07632,-0.53852,0.53852,-0.6218293339279946,-0.6731499999999999,-0.7540788308507639,-0.8975333333333335,-1.2354496100397494
0.62019,0.07855,-0.56059,0.56059,-0.6473135748100247,-0.7007375,-0.7849830123052621,-0.9343166666666669,-1.2860816625049825
0.60392,0.08069,-0.58186,0.58186,-0.6718740552613514,-0.727325,-0.8147669696925379,-0.969766666666667,-1.334878389099251
0.58766,0.08272,-0.60405,0.60405,-0.6974968602079868,-0.7550625,-0.8458391847571193,-1.0067500000000003,-1.3857857404451286
0.5714,0.08465,-0.62543,0.62543,-0.7221843577185354,-0.7817875,-0.8757771729536382,-1.0423833333333337,-1.4348348243466549
0.55514,0.08647,-0.64766,0.64766,-0.7478533506867061,-0.8095749999999999,-0.9069053992215809,-1.0794333333333337,-1.4858339419860807
0.53889,0.08818,-0.66961,0.66961,-0.7731990275041307,-0.8370125,-0.9376415470659958,-1.1160166666666669,-1.536190695570669
0.52265,0.08978,-0.69205,0.69205,-0.7991105075853612,-0.8650625000000001,-0.9690638321515843,-1.153416666666667,-1.5876715862512232
0.50642,0.09127,-0.71485,0.71485,-0.825437679860408,-0.8935624999999999,-1.0009902180674228,-1.191416666666667,-1.639978373573711
0.49021,0.09264,-0.73773,0.73773,-0.8518572281785253,-0.9221625,-1.0330286263899837,-1.2295500000000004,-1.6924686934832955
0.47402,0.0939,-0.76122,0.76122,-0.8789811438250539,-0.951525,-1.0659212055638017,-1.2687000000000004,-1.7463584493694906
0.45785,0.09503,-0.78595,0.78595,-0.9075368881391729,-0.9824375,-1.1005501320418143,-1.309916666666667,-1.8030929603556807
0.44172,0.09603,-0.81134,0.81134,-0.9368547348086219,-1.0141749999999998,-1.1361032433752853,-1.3522333333333336,-1.861341615185416
0.42564,0.0969,-0.83859,0.83859,-0.9683203244794565,-1.0482375,-1.1742608756650488,-1.3976500000000003,-1.923857402665144
0.40965,0.09765,-0.8682,0.8682,-1.0025110074208663,-1.0852499999999998,-1.215723168953118,-1.4470000000000003,-1.9917874014642176
0.39382,0.09824,-0.90821,0.90821,-1.0487105759614201,-1.1352624999999998,-1.2717483751150789,-1.5136833333333337,-2.0835766365858293
0.37817,0.09865,-0.93928,0.93928,-1.0845871216888634,-1.1741,-1.3152550773258291,-1.565466666666667,-2.154856105099413
0.36263,0.09885,-0.96543,0.96543,-1.114782540767481,-1.2067875,-1.3518724015231616,-1.6090500000000003,-2.2148483195065647
0.34716,0.09884,-0.98867,0.98867,-1.1416177812794148,-1.2358375,-1.3844149106759727,-1.6477833333333338,-2.2681645360580833
0.33174,0.09863,-1.0098,1.0098,-1.1660166036553683,-1.2622499999999999,-1.4140028288514843,-1.6830000000000005,-2.3166400806249334
0.31639,0.09821,-1.02905,1.02905,-1.1882445890191689,-1.2863125,-1.4409582204690237,-1.7150833333333337,-2.3608026093950163
0.30109,0.09757,-1.04662,1.04662,-1.2085326774784924,-1.308275,-1.4655611415453957,-1.7443666666666673,-2.401110953836074
0.28586,0.09672,-1.06221,1.06221,-1.226534458871825,-1.3277625,-1.4873915080553926,-1.7703500000000005,-2.436876866746495
0.27069,0.09564,-1.07647,1.07647,-1.243000488549113,-1.3455875,-1.507359502053632,-1.794116666666667,-2.4695915503964367
0.25561,0.09433,-1.08843,1.08843,-1.256810706988129,-1.3605375,-1.5241068518586067,-1.8140500000000004,-2.497029672167356
0.24061,0.0928,-1.0994,1.0994,-1.2694777718941492,-1.3742499999999997,-1.539467924380394,-1.8323333333333336,-2.5221965781729563
0.22571,0.09103,-1.10827,1.10827,-1.2797199656695732,-1.3853375,-1.5518884087257225,-1.8471166666666672,-2.5425457537672758
0.21092,0.08902,-1.1153,1.1153,-1.2878375104543793,-1.3941249999999998,-1.5617323777164394,-1.8588333333333338,-2.5586736798583756
0.19626,0.08678,-1.12097,1.12097,-1.2943846625069897,-1.4012125,-1.5696719657928782,-1.8682833333333337,-2.5716815519688367
0.18175,0.08429,-1.12412,1.12412,-1.2980219692028843,-1.40515,-1.5740828480575664,-1.8735333333333337,-2.5789081475857594
0.16741,0.08155,-1.12626,1.12626,-1.300493028355016,-1.4078249999999999,-1.5770794474373864,-1.8771000000000004,-2.5838176442905896
0.15327,0.07856,-1.1259,1.1259,-1.3000773361611992,-1.4073749999999998,-1.5765753466071362,-1.8765000000000003,-2.5829917476486552
0.13937,0.07533,-1.12408,1.12408,-1.297975781181349,-1.4050999999999998,-1.5740268368542052,-1.873466666666667,-2.578816381292211
0.12576,0.07185,-1.12015,1.12015,-1.2934378080655187,-1.4001875,-1.5685237361239752,-1.866916666666667,-2.569800342951098
0.11254,0.06815,-1.11415,1.11415,-1.2865096048352431,-1.3926874999999999,-1.5601220556198072,-1.856916666666667,-2.556035398918864
0.09978,0.06426,-1.10661,1.10661,-1.2778031627758637,-1.3832625,-1.549563943786236,-1.8443500000000006,-2.5387374525850244
0.08762,0.0602,-1.09742,1.09742,-1.2671914648281584,-1.371775,-1.5366953698140187,-1.8290333333333337,-2.5176541466423195
0.07622,0.05606,-1.08602,1.08602,-1.2540278786906347,-1.3575249999999999,-1.5207321768560993,-1.8100333333333336,-2.491500752981075
0.06572,0.0519,-1.07354,1.07354,-1.2396172159716616,-1.3419249999999998,-1.5032566814074295,-1.7892333333333337,-2.462869669394029
0.05625,0.04782,-1.05921,1.05921,-1.223070357256687,-1.3240124999999998,-1.4831906678033082,-1.7653500000000004,-2.4299943947303775
0.04786,0.04389,-1.04396,1.04396,-1.2054611740464034,-1.3049499999999998,-1.4618363965218812,-1.7399333333333338,-2.395008495315117
0.04055,0.04017,-1.0268,1.0268,-1.1856465128078155,-1.2834999999999999,-1.4378075902799605,-1.7113333333333336,-2.3556407553829284
0.03423,0.03668,-1.00765,1.00765,-1.1635339974978527,-1.2595625,-1.4109922266708241,-1.679416666666667,-2.311707642346716
0.02879,0.03343,-0.98619,0.98619,-1.1387541239442343,-1.2327375,-1.380942216067583,-1.6436500000000003,-2.2624750258580937
0.02411,0.0304,-0.96243,0.96243,-1.1113184391523432,-1.2030375,-1.3476715612710775,-1.6040500000000004,-2.207965847490448
0.02008,0.02756,-0.93379,0.93379,-1.0782478157331614,-1.1672375,-1.3075675396645152,-1.556316666666667,-2.142261181309919
0.0166,0.02489,-0.90052,0.90052,-1.0398309288212837,-1.1256499999999998,-1.2609802212689034,-1.500866666666667,-2.0659345666511832
0.01357,0.02236,-0.85991,0.85991,-0.9929385399577022,-1.0748874999999998,-1.204114847056526,-1.4331833333333335,-1.9727688371263479
0.01095,0.01995,-0.81143,0.81143,-0.9369586578570761,-1.0142875,-1.1362292685828481,-1.3523833333333337,-1.8615480893458995
0.00867,0.01764,-0.75134,0.75134,-0.8675727025058669,-0.939175,-1.0520864383336048,-1.2522333333333335,-1.7236921748630791
0.00671,0.01541,-0.67892,0.67892,-0.7839492895164415,-0.8486499999999999,-0.9506781546482964,-1.1315333333333335,-1.5575493003940182
0.00502,0.01324,-0.58839,0.58839,-0.6794142497769678,-0.7354875,-0.8239107986412407,-0.9806500000000001,-1.3498592365209985
0.0036,0.01113,-0.47846,0.47846,-0.5524780195929367,-0.5980749999999999,-0.6699780090040416,-0.7974333333333335,-1.09766252027709
0.00242,0.00906,-0.34499,0.34499,-0.398360138735458,-0.4312375,-0.48308262618882314,-0.5749833333333335,-0.7914613402800512
0.00148,0.00703,-0.1859,0.1859,-0.21465883008470288,-0.232375,-0.26031206762080705,-0.3098333333333334,-0.4264838492653744
0.00077,0.00504,-0.00421,0.00421,-0.004861289266576649,-0.0052625,-0.005895179153757922,-0.0070166666666666684,-0.009658402395950652
0.00029,0.00309,0.19612,-0.19612,0.2264598695869388,0.24514999999999998,0.2746229300795733,0.3268666666666667,0.4499301372669458
4e-05,0.0012,0.39996,-0.39996,0.46183402733016543,0.49994999999999995,0.5600560224078428,0.6666000000000001,0.917571169188699
1e-05,-0.00064,0.59165,-0.59165,0.6831785735320842,0.7395625,0.8284757117151721,0.9860833333333335,1.357338189445179
0.0002,-0.00249,0.76234,-0.76234,0.8802744084280387,0.952925,1.067489519257913,1.270566666666667,1.748927905588841
0.00065,-0.00436,0.89869,-0.89869,1.0377178268360496,1.1233624999999998,1.2584177087151323,1.497816666666667,2.0617362587213517
0.00137,-0.00623,0.97902,-0.97902,1.130474921084055,1.2237749999999998,1.3709022078651023,1.6317000000000004,2.246025917739574
0.00239,-0.00805,0.99934,-0.99934,1.1539384360239213,1.249175,1.3993558991725514,1.665566666666667,2.2926431948620722
0.00369,-0.0098,0.96795,-0.96795,1.1176923861241965,1.2099374999999999,1.3554011073349121,1.6132500000000003,2.220629596000103
0.00527,-0.01148,0.90274,-0.90274,1.0423943640164857,1.128425,1.2640888430554456,1.504566666666667,2.0710275959431095
0.00712,-0.01307,0.82011,-0.82011,0.946981458530208,1.0251375,1.1483836997122112,1.3668500000000003,1.8814613750458644
0.00925,-0.01459,0.73314,-0.73314,0.8465571527073645,0.9164249999999999,1.026601340804295,1.2219000000000002,1.681938511298637
0.01167,-0.01603,0.64913,-0.64913,0.7495507604781235,0.8114125,0.908963810945102,1.0818833333333335,1.4892063532739779
0.01438,-0.01741,0.57091,-0.57091,0.6592300843660985,0.7136375,0.7994339027724311,0.9515166666666669,1.3097573662404245
0.01744,-0.01873,0.50112,-0.50112,0.5786435337926106,0.6264,0.7017083557081163,0.8352000000000002,1.1496481255721593
0.02087,-0.02,0.43857,-0.43857,0.5064170151169884,0.5482125,0.6141208364521643,0.7309500000000002,1.006148584036123
0.02476,-0.02123,0.38347,-0.38347,0.4427930154522916,0.47933749999999997,0.5369654038222209,0.6391166666666668,0.8797405146734433
0.02916,-0.02242,0.3354,-0.3354,0.38728656057240096,0.41924999999999996,0.46965394018299444,0.559,0.7694603714018643
0.03419,-0.02357,0.29365,-0.29365,0.33907781309506724,0.3670625,0.4111922466748251,0.48941666666666683,0.6736793025109048
0.03998,-0.02467,0.25738,-0.25738,0.2971968245680518,0.321725,0.3604040880271292,0.4289666666666668,0.590470215836052
0.04667,-0.02572,0.22664,-0.22664,0.2617013300182736,0.2833,0.31735947824410815,0.3777333333333334,0.5199478192442413
0.05445,-0.0267,0.20071,-0.20071,0.23175994505809958,0.2508875,0.28105021566526184,0.33451666666666674,0.4604603194516046
0.06345,-0.02758,0.18019,-0.18019,0.20806549001055732,0.22523749999999998,0.25231646834100707,0.30031666666666673,0.4133842108613653
0.07377,-0.02833,0.16404,-0.16404,0.18941707631573243,0.20504999999999998,0.22970194498395471,0.27340000000000003,0.3763335698412696
0.08543,-0.02891,0.1526,-0.1526,0.1762073021566738,0.19075,0.21368274082267433,0.2543333333333334,0.3500884098864773
0.09832,-0.02929,0.145,-0.145,0.16743157806499148,0.18124999999999997,0.20304061218406141,0.2416666666666667,0.3326528141123146
0.11223,-0.02947,0.14102,-0.14102,0.16283586992224205,0.176275,0.19746749744962996,0.2350333333333334,0.3235220679042663
0.12696,-0.02945,0.13984,-0.13984,0.16147332328695455,0.17479999999999998,0.19581516695047688,0.2330666666666667,0.3208149622445936
0.14228,-0.02924,0.1407,-0.1407,0.16246636574996068,0.17587499999999998,0.19701940782274097,0.23450000000000004,0.3227879375558804
0.15806,-0.02887,0.14283,-0.14283,0.1649258778967085,0.17853750000000002,0.20000200440172067,0.23805000000000007,0.32767449268732346
0.17418,-0.02837,0.14638,-0.14638,0.16902506480795487,0.182975,0.2049729987000201,0.24396666666666675,0.3358187512397284
0.19056,-0.02776,0.15011,-0.15011,0.17333209781610945,0.18763749999999998,0.21019604341344456,0.25018333333333337,0.3443759581131003
0.20714,-0.02707,0.1545,-0.1545,0.17840123317959436,0.193125,0.21634327298232753,0.25750000000000006,0.354447308830018
0.22389,-0.0263,0.15925,-0.15925,0.1838860607368958,0.1990625,0.22299460338146057,0.26541666666666675,0.3653445561888697
0.24078,-0.02549,0.16363,-0.16363,0.18894364909499695,0.20453749999999998,0.22912783014950325,0.2727166666666667,0.3753929653324003
0.25777,-0.02465,0.16811,-0.16811,0.194116707506936,0.2101375,0.23540108492594874,0.2801833333333334,0.3856707902098015
0.27484,-0.02379,0.17239,-0.17239,0.19905882581119916,0.21548749999999997,0.2413942836855886,0.2873166666666667,0.39548978361946147
0.29194,-0.02292,0.17593,-0.17593,0.20314646571706174,0.21991249999999998,0.24635127518304778,0.29321666666666674,0.4036111005984794
0.30901,-0.02207,0.17951,-0.17951,0.20728029364445946,0.2243875,0.25136427788386806,0.2991833333333334,0.4118241838710455
0.32603,-0.02124,0.18225,-0.18225,0.2104441731196186,0.22781249999999997,0.2552010453141048,0.3037500000000001,0.41811017497909886
0.34301,-0.02043,0.18421,-0.18421,0.21270738617484194,0.2302625,0.2579455942787997,0.30701666666666677,0.42260672336296196
0.35994,-0.01967,0.18541,-0.18541,0.21409302682089704,0.23176249999999998,0.2596259303796333,0.3090166666666667,0.42535971216940865
0.37686,-0.01894,0.18547,-0.18547,0.21416230885319978,0.23183749999999997,0.259709947184675,0.3091166666666667,0.42549736160973095
0.39378,-0.01827,0.18304,-0.18304,0.2113563865449382,0.2288,0.2563072665804869,0.30506666666666676,0.4199225592766764
0.41076,-0.01762,0.17649,-0.17649,0.20379309801855414,0.2206125,0.24713543203010346,0.2941500000000001,0.40489582870815455
0.42781,-0.01697,0.17489,-0.17489,0.2019455771571473,0.2186125,0.24489498389565864,0.29148333333333337,0.4012251769662255
0.44491,-0.01629,0.17422,-0.17422,0.20117192779643323,0.217775,0.2439567962393599,0.2903666666666668,0.3996880915492928
0.46204,-0.0156,0.17463,-0.17463,0.2016453550171687,0.2182875,0.24453091107381136,0.2910500000000001,0.4006286960581621
0.47921,-0.0149,0.17517,-0.17517,0.2022688933078935,0.21896249999999998,0.24528706231918648,0.29195000000000004,0.4018675410210631
0.49639,-0.0142,0.1759,-0.1759,0.20311182470091035,0.219875,0.24630926678052695,0.29316666666666674,0.4035422758783182
0.51357,-0.0135,0.17738,-0.17738,0.20482078149771166,0.221725,0.2483816813048884,0.2956333333333334,0.40693762873960254
0.53074,-0.0128,0.17856,-0.17856,0.20618332813299917,0.22319999999999998,0.25003401180404144,0.2976000000000001,0.4096447343992752
0.5479,-0.01211,0.17972,-0.17972,0.2075227807575191,0.22465,0.25165833670151394,0.2995333333333334,0.41230595691217364
0.56503,-0.01143,0.18111,-0.18111,0.20912781450586626,0.2263875,0.25360472601831285,0.30185000000000006,0.41549483561297446
0.58215,-0.01076,0.18262,-0.18262,0.21087141231881892,0.228275,0.25571914894519515,0.30436666666666673,0.41895901319441997
0.59926,-0.01011,0.18379,-0.18379,0.21222241194872266,0.2297375,0.25735747664350794,0.30631666666666674,0.42164317728070555
0.61635,-0.00947,0.18542,-0.18542,0.21410457382628084,0.23177499999999998,0.25963993318047357,0.3090333333333334,0.4253826537427957
0.63342,-0.00885,0.18647,-0.18647,0.21531700939157905,0.23308749999999998,0.261110227268703,0.3107833333333334,0.4277915189484366
0.65049,-0.00825,0.18778,-0.18778,0.21682966709685586,0.234725,0.2629445941787797,0.3129666666666667,0.430796865062141
0.66755,-0.00768,0.18894,-0.18894,0.2181691197213758,0.236175,0.2645689190762522,0.31490000000000007,0.43345808757503945
0.68459,-0.00712,0.19,-0.19,0.2193931022920578,0.2375,0.2660532159653219,0.31666666666666676,0.43588989435406744
0.70164,-0.00659,0.19125,-0.19125,0.22083647796503186,0.23906249999999998,0.2678035660703569,0.3187500000000001,0.4387575910274495
0.71867,-0.00608,0.19207,-0.19207,0.22178333240650283,0.24008749999999998,0.2689517957392598,0.3201166666666667,0.440638800045188
0.7357,-0.0056,0.19316,-0.19316,0.22304195599333623,0.24145,0.2704781010308504,0.3219333333333334,0.4431394315443772
0.75273,-0.00514,0.19401,-0.19401,0.2240234514509586,0.24251249999999996,0.27166833910227417,0.32335,0.44508946528227694
0.76976,-0.00471,0.19518,-0.19518,0.22537445108086232,0.24397499999999997,0.27330666680058696,0.32530000000000003,0.4477736293685625
0.78678,-0.00431,0.19606,-0.19606,0.2263905875546361,0.24507500000000002,0.2745389132745316,0.32676666666666676,0.4497924878266235
0.80381,-0.00393,0.1973,-0.1973,0.22782241622222635,0.24662499999999998,0.27627526057872637,0.3288333333333334,0.45263724292661844
0.82084,-0.00357,0.19833,-0.19833,0.22901175777675697,0.2479125,0.2777175490652752,0.33055000000000007,0.45500022498548526
0.83786,-0.00324,0.19993,-0.19993,0.23085927863816377,0.24991249999999998,0.27995799719972003,0.3332166666666667,0.4586708767274142
0.85489,-0.00294,0.20116,-0.20116,0.23227956030037025,0.25145,0.2816803417030745,0.33526666666666677,0.4614926902540221
0.8719,-0.00266,0.20338,-0.20338,0.2348429954955722,0.254225,0.28478896348961663,0.33896666666666675,0.46658571954594863
0.88889,-0.00241,0.20611,-0.20611,0.23799532796534753,0.25763749999999996,0.2886117281190131,0.34351666666666675,0.4728487690806149
0.90581,-0.00218,0.2093,-0.2093,0.24167882268277738,0.261625,0.2930786215870625,0.34883333333333344,0.4801671309910859
0.92258,-0.00197,0.21387,-0.21387,0.24695580414317053,0.2673375,0.29947790157107046,0.3564500000000001,0.49065143002897055
0.93902,-0.00179,0.22025,-0.22025,0.25432279357803017,0.27531249999999996,0.30841168850716916,0.36708333333333343,0.5052881538499124
0.95483,-0.00163,0.22915,-0.22915,0.2645996283696055,0.28643749999999996,0.32087418125501843,0.38191666666666674,0.5257061541643924
0.96953,-0.0015,0.24298,-0.24298,0.28056913681539053,0.30372499999999997,0.3402400548171258,0.40496666666666675,0.5574343501586911
0.98258,-0.00139,0.264,-0.264,0.3048409421321224,0.33,0.3696739421833946,0.4400000000000001,0.6056575374182832
0.99368,-0.00131,0.30068,-0.30068,0.3471953578798734,0.37584999999999996,0.421036215665542,0.5011333333333334,0.6898072286020053
1.0,-0.00126,0.42147,-0.42147,0.48667163591070317,0.5268375,0.5901760470152854,0.7024500000000001,0.9669184935442569
